created_at,username,full_text
Thu Apr 10 05:13:17 +0000 2025,semutapi_media,Ini bukan efisiensi ini pengabaian sistematis terhadap kecerdasan bangsa. Baca selengkapnya https://t.co/js22xQrowz Penulis: Muhammad Rifai Nugroho #Efisiensianggaran #IndonesiaEmas #Prabowo #Pendidikan #IndonesiaGelap
Thu Apr 10 03:36:25 +0000 2025,Mudzkh,Mesin pengering tangan di wastafel toilet pada dicopotin kata OB habis kontraknya g diperpanjang #efisiensianggaran
Wed Apr 09 11:40:48 +0000 2025,RADARSOLO_,Dilema Pariwisata Solo Pasca Lebaran: Efisiensi Anggaran Picu Kekhawatiran Asita Destinasi Baru Jadi Andalan Pemkot #PARIWISATA #EFISIENSIANGGARAN #destinasiwisata https://t.co/ASeowrqSez
Wed Apr 09 06:43:19 +0000 2025,KaltaraTribun,Di Tengah Efisiensi Anggaran Pemkab Tana Tidung Tetap Upayakan Insentif Guru PAUD dan TK #PemkabTanaTidung #InsentifGuru #PAUD #SKBM #EfisiensiAnggaran #Guru #Insentif #TanaTidung #NonASN #Kaltara https://t.co/NxItM9tyHg via @tribunnews
Wed Apr 09 03:45:49 +0000 2025,kompascom,Tak Lagi Dianggarkan Insentif Guru di Kaltara Dihapus demi Efisiensi ~SA #EfisiensiAnggaran #Insentif #Guru https://t.co/VEuquTPnQE
Mon Apr 07 01:48:20 +0000 2025,RADARSOLO_,Dampak Efisiensi Anggaran Hotel di Solo Ikut Terdampak #efisiensi #efisiensianggaran #hotelterdampak #kotasolo https://t.co/GER3c5zNuC
Sat Mar 29 04:14:46 +0000 2025,TubasMediaCom,Imbas Efisiensi Anggaran Besar-besaran Prabowo Industri #Perhotelan Terancam Gulung Tikar https://t.co/nqpiY1F3Ln #efisiensianggaran #prabowo
Thu Mar 27 11:53:21 +0000 2025,TubasMediaCom,Dampak Buruk Efisiensi Anggaran Telah Menelan Korban Satu per Satu #Hotel Mulai Tumbang https://t.co/7FlWWPljWm #efisiensianggaran #hotelpeninsula #PHRI
Thu Mar 27 05:20:13 +0000 2025,InnfoA1,Pemerintah dan yang mana yg gak boleh? Pls bantu jawab guys #YusrilIhzaMahendra #OECD #AntiCorruption #IntegrityForum #Indonesia #GoodGovernance #DigitalForensics #AI #Transparency #LawAndJustice #EfisiensiAnggaran #ForumInternasional
Wed Mar 26 06:59:40 +0000 2025,dustyrosepjy,Maaf yah ponakan2ku tahun ini thrnya dipotong 50% dari tahun lalu soalnya #efisiensianggaran
Mon Mar 24 10:20:43 +0000 2025,antaranews,Dengan adanya kebijakan efisiensi anggaran pemerintah yang berdampak pada sektor MICE (Meetings Incentives Conferences Exhibitions) banyak pelaku usaha dan tenaga kerja mengalami kesulitan. #mice #efisiensianggaran #tenagakerja https://t.co/eIUUmjOTfJ
Sun Mar 23 03:24:15 +0000 2025,WujudDamai,Apa saja sih dampak positif dari efisiensi anggaran? Mari kita pelajari. #efisiensianggaran #indonesiaterang #astacita #presidenprabowo https://t.co/N6JhSFUJif
Fri Mar 21 13:30:07 +0000 2025,gemercikmedia,Baca berita selengkapnya di https://t.co/LAg2zD8Akl atau klik tautan yang tertera di bio kami. #unsil #danakemahasiswaan #pendidikanindonesia #pemangkasandana #efisiensianggaran
Thu Mar 20 05:59:09 +0000 2025,kompascom,Dampak Efisiensi Anggaran Terhadap Mudik Lebaran: Jalan Tak Mulus Jumlah Pemotor Tinggi ~SA #EfisiensiAnggaran #Mudik #Lebaran https://t.co/yK8dSzEOHh
Wed Mar 19 07:48:01 +0000 2025,NextIndonesia_,Ketika anggaran pusat dipotong banyak daerah menghadapi ancaman serius. Tanpa transfer dana dari pemerintah pusat mereka bisa kesulitan membayar gaji pegawai membiayai layanan publik hingga melanjutkan proyek pembangunan. #EfisiensiAnggaran https://t.co/MDeXJAICMJ
Wed Mar 19 07:00:19 +0000 2025,adilarainbow,Prabowo Subianto menekankan pentingnya efisiensi anggaran untuk memperkuat program-program yang langsung berdampak pada rakyat. #EfisiensiAnggaran #ProgramRakyat https://t.co/WtK1EiIa7P
